Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
MOS,"Mosaic Company",-26.77,33.59,-0.079999999999998,-0.24%,57.46,31.44,-25.56%,"10:09 ET"
MPC,"Marathon Petroleum Corp",+30.59,154.73,1.89,+1.24%,162.31,104.32,+31.90%,"10:09 ET"
MPWR,"Monolithic Power Sys",+42.73,580.99,-8.2,-1.39%,647.11,379.1,+48.05%,"10:09 ET"
MRK,"Merck & Company",+10.81,118.63,-0.23,-0.19%,119.94,96.36,+6.77%,"10:09 ET"
MRNA,"Moderna Inc",-36.14,106.75,-2.71,-2.48%,207.51,62.55,-42.74%,"10:09 ET"
MRO,"Marathon Oil Corp",-16.59,22.76,-0.09,-0.39%,32.54,20.57,-15.38%,"10:09 ET"
MS,"Morgan Stanley",+2.43,89.85,-1.63,-1.78%,100.99,69.42,+1.01%,"10:09 ET"
MSCI,"MSCI Inc",+10.37,549.23,2.5700000000001,+0.47%,573.32,451.55,+8.80%,"10:09 ET"
MSFT,"Microsoft Corp",+57.66,383.11,0.34000000000003,+0.09%,390.56,230.68,+63.95%,"10:09 ET"
MSI,"Motorola Solutions",+19.25,314.98,-0.060000000000002,-0.02%,329.83,251,+19.04%,"10:08 ET"
MTB,"M&T Bank Corp",-3.87,133.72,-3.12,-2.28%,161.99,108.53,-9.58%,"10:09 ET"
MTCH,"Match Group Inc",-11.69,37.79,-0.99,-2.55%,54.6,27.85,-15.94%,"10:09 ET"
MTD,"Mettler-Toledo International",-21.27,1171.37,-5.49,-0.47%,1615.97,928.49,-24.30%,"10:08 ET"
MU,"Micron Technology",+48.66,82.19,-0.19,-0.23%,87.87,52.76,+42.75%,"10:09 ET"
NCLH,"Norwegian Cruise Ord",+11.27,17.16,-0.43,-2.44%,22.75,12.15,+18.99%,"10:09 ET"
NDAQ,"Nasdaq Inc",-3.04,56.61,-0.28,-0.49%,63.9,46.88,-9.77%,"10:09 ET"
NDSN,"Nordson Corp",+7.65,249.26,-1.36,-0.54%,265.99,202.57,+2.87%,"10:03 ET"
NEE,"Nextera Energy",-24.08,61.29,-0.99,-1.59%,86.47,47.15,-27.04%,"10:09 ET"
NEM,"Newmont Mining Corp",-27.96,37.77,-0.18,-0.47%,60.08,33.58,-27.95%,"10:09 ET"
NFLX,"Netflix Inc",+52.06,488.72,10.39,+2.17%,503.41,285.33,+51.19%,"10:09 ET"
NI,"NiSource Inc",-1.24,26.74,-0.6,-2.19%,28.95,22.86,-3.15%,"10:09 ET"
NKE,"Nike Inc",-16.87,103.98,0.21000000000001,+0.20%,131.31,88.66,-18.27%,"10:09 ET"
NOC,"Northrop Grumman Corp",+3.24,469.76,-2.19,-0.46%,496.89,414.56,-4.77%,"10:09 ET"
NOW,"Servicenow Inc",+77.59,722.44,8.1400000000001,+1.14%,734.3,395.85,+84.25%,"10:09 ET"
NRG,"NRG Energy",+64.24,50.31,-0.63,-1.24%,52.42,30.25,+55.90%,"10:09 ET"
NSC,"Norfolk Southern Corp",-4.60,225.8,-3.05,-1.33%,260.2,183.09,-11.46%,"10:07 ET"
NTAP,"Netapp Inc",+36.49,86.05,-0.61,-0.70%,91.78,59.73,+34.85%,"10:08 ET"
NTRS,"Northern Trust Corp",-7.15,82.77,-1.38,-1.64%,100.25,62.44,-13.85%,"10:09 ET"
